reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,sortOrder,appId,
0c42051a-a587-44c3-b5e8-9c06f6d1cffa,Jerod Keevican (Averial),https://play-lh.googleusercontent.com/a-/ALV-UjWN0HQZ4rO8l84lyQZ30ubGwXOquoUn-c8Y1JS0X83jnkJfaJi65Q,"This went from being a 5⭐ app to 1 with one simple change: forcing people to use Metal AI if we want to search for something in our messages. Sure it says it's optional, but if you don't agree to the AI terms, you can't use regular search. If you can't do regular searches without the AI, then that by default means our messages are no longer private.",1,313,2.24.10.71,,,most_relevant,com.whatsapp,
9c722e61-29de-46e5-9b7d-4951cf7f621e,T J,https://play-lh.googleusercontent.com/a-/ALV-UjXv6wdSBFtDhO9XAPm_FcHv1SW1O3E2m3LTtrs0d6AXjVPBuk5G,"Not a fan of the recent app update. Please remove AI from the regular search box! Please add in the ability to customize layouts, and place the toolbar at the top. I hate all the menus at the bottom. They cover up my viewing area. The theme is now only white or black, and terrible, hard on the eyes, green was SO much better!! The AI and message floating buttons obstruct my view of my conversations too!",1,4151,2.24.8.85,,,most_relevant,com.whatsapp,
b5fcdf3e-a82c-428e-a31e-6810b4f85e3a,Kimo Charles,https://play-lh.googleusercontent.com/a-/ALV-UjWQZ4JHxor0Q1iGU9Wq-tAXRktZoT4Y162KH4xonaNJsLAyqLNd,"The latest update has moved the sticker and emoji groups to the very, very bottom of the screen. If you use swipe gesture controls it's near impossible to not swipe directly out of the app entirely. Completely unnecessary and a huge hindrance to the user experience. edit: The updated shade of bright green looks atrocious. Jesus Christ, give UI color options if that's the best you can come up with.",1,2598,2.24.8.85,,,most_relevant,com.whatsapp,
b73df9ff-c741-4d5c-9ead-0eb4ce706531,Gregg Starks,https://play-lh.googleusercontent.com/a-/ALV-UjUgPk6Nigq2vJOTIdtSZ3d1f__qlzV8DwF_RxWQDq0dz-znwG5D,"Update to the update, throws error saying poor Wi-Fi signal. I literally am sitting two feet away from a high-end router with a fiber internet connection. Update: Even worse than before. Latest update has really screwed it up. Rings but doesn't show notification sometimes it doesn't ring at all. Absolutely terrible since the past few updates. While on video call if a sms or voice call rings my phone it disables audio on video call. If while in a video call I reduce screen then open say gmail..",1,3053,2.24.8.71,,,most_relevant,com.whatsapp,
50ea480c-1251-4d3f-b5ea-81b91456c3f9,Tan Art,https://play-lh.googleusercontent.com/a/ACg8ocI_8LCS-umkMHDHaU5xJe5XN9tpYASxUiRXv6mE-ve3iVrkyg=mo,"As of 4/13. Whatsapp tooo many people are being hacked. Security is horrible, service is getting poor. It was a great app for communication but decided to become social media like and it went down form there. Old: Latest update is messing up my videos. I can but send a video via message, can't upload my story, and cannot watch a video or story without screen going blank. Everything else fine!",1,398,2.24.7.81,,,most_relevant,com.whatsapp,
0f0f4c36-595b-4f08-8385-06e349eb2a1c,Aadhil Job,https://play-lh.googleusercontent.com/a-/ALV-UjVoDuQLVhL2LjiKxU2xQnJRYffwh0kKSNQljMyuYbfQXAwVn6uy,"The latest WhatsApp update has introduced a color scheme that many users find irritating and eye-straining, with a selection of hues that can be overwhelming. Additionally, the updated user interface (UI) has been described as clunky and unintuitive, leading to a less than satisfactory user experience. These changes have sparked considerable frustration among the user community, calling for a more thoughtful approach to app design that prioritizes usability.",1,172,2.24.8.85,,,most_relevant,com.whatsapp,
6461c1c2-5e85-4540-a2cf-d6bb62512e8f,Nataliia Gruss,https://play-lh.googleusercontent.com/a-/ALV-UjXcdjxQBu4oTvEaD5rwUL0-m56_0HMfgak0IYQHrwnzsrEO8J03,"It is one of the most popular, but the worst app possible. There are a lot of annoying things here, but the most annoying is that you can't use it on multiple devices simultaneously. If you try to switch to a new phone, and get a code in the old phone app, it will log you out without transferring chats! In order to transfer chats, I had to get code by SMS (which is limited), or by call, then transfer chats, then you're okay. I mean what kind of app doesn't load all the chats automatically???????",1,4716,2.24.5.76,,,most_relevant,com.whatsapp,
d76b3be2-d22f-428d-b703-a45afc71ecf3,Joshua Indig,https://play-lh.googleusercontent.com/a/ACg8ocLJYp4h-TrjTCIyrKXAUMXSJbol9vDT0elE5lrM2Mmn1EJ8fA=mo,This used to be an amazing app. But with every update it got worse. Switching status to updates is very annoying. The channels are just confusing. It doesn't let you post HD statuses anymore. It just compress your status so the photos or videos look like it was taken on a $5 camera. The new design is just horrible. They moved everything to the bottom. And they put communities right in between status and calls. Which is really annoying. And really in the way 😡,1,2301,2.24.5.76,,,most_relevant,com.whatsapp,
4bc4852a-7882-4f36-a44d-551d2decedc5,shmuel Dovid Israel,https://play-lh.googleusercontent.com/a-/ALV-UjViHOr9nCqBkvByTB5ZKqquKi_0Slb5-70JlVtWcs9J4FhcQqUqtw,"Horrible app, don't get it. they are adding updates with AI and removing the option to remove it. I had it (the AI button) disabled but whatever to check, if I turned it off, then on again, then will it remove the additional one they added on top. as soon as I reenabled it, the option to disabled was removed, so now I'm screwed. I'm thinking of moving to a different app. it is very clear form the fact they are removing these option that they don't care about the customer and need you to use AI.",1,2,2.24.8.85,,,most_relevant,com.whatsapp,
c40282fc-0078-4bf7-8f8c-9f631d39563c,Tooc,https://play-lh.googleusercontent.com/a/ACg8ocLLwuVdefO8rm8B2PizqZwLye2SzONu0k-tZSz4gA4R6pGCnFw=mo,"Whatsapp is already having problems, and the fact that it's such a good app for viewing, calling and messaging is such a pity. Its quite literally a virus on my device because everytime I delete media, images, archives, turn off data. The space it takes up increases, going from 3 GB to 5-6 GB. It's the most annoying problem and quite irritating. Stop fixing things that dont need to be fixed and actually start fixing the bugs/glitches in the apps, developers.",1,2266,2.24.6.77,,,most_relevant,com.whatsapp,
